Date,Open,High,Low,Close,Volume
1/2/2019,36.81856022,37.75988468,36.6616722,37.53881454,148158800
1/3/2019,34.22515493,34.63876765,33.75449468,33.79965973,365248800
1/4/2019,34.35590472,35.311491,34.18237906,35.24255371,234428400
1/7/2019,35.34714811,35.37805128,34.68156556,35.16411209,219111200
1/8/2019,35.55156935,36.08879116,35.30435489,35.83444214,164101200
1/9/2019,35.96281096,36.73298552,35.56821877,36.44298172,180396400
1/10/2019,36.25044261,36.5998734,35.86060193,36.5594635,143122800
1/11/2019,36.34077758,36.53569613,36.01511536,36.20052719,108092800
1/12/2019,35.85821146,35.95804827,35.47074671,35.65615845,129756800
1/13/2019,35.72035788,36.46200517,35.66806186,36.38594055,114843600
1/14/2019,36.38831525,37.05389791,36.36929819,36.83045197,122278800
1/15/2019,36.6545413,37.47701187,36.4310954,37.04913712,119284800
1/16/2019,37.43899483,37.52932499,37.0776778,37.27735519,135004000
1/17/2019,37.17988043,37.25594505,36.27896578,36.44060898,121576000
1/18/2019,36.64266541,36.8779975,36.06028188,36.58799362,92522400
1/19/2019,36.63314629,36.72109701,36.06978001,36.29797745,101766000
1/20/2019,36.95880851,37.58873637,36.68307021,37.50078201,134142000
1/21/2019,37.0325066,37.16087087,36.52619131,37.15373993,104768400
1/22/2019,37.14185314,37.58874507,36.63315846,36.76865005,166348800
1/23/2019,38.80579628,39.49514741,38.08791775,39.28121185,244439200
1/24/2019,39.4856391,40.17261443,39.11719132,39.5640831,162958400
1/25/2019,39.68769902,40.1678662,39.44285662,39.58310699,130672400
1/26/2019,39.79465774,40.80491574,39.76375457,40.70745468,125982000
1/27/2019,41.09017349,41.61788513,40.96894381,41.40394592,144406400
1/28/2019,41.51565887,41.7343532,41.0877878,41.41820145,112958400
1/29/2019,40.98083287,41.346905,40.49115527,40.63378143,126966800
1/30/2019,40.34252624,40.74120038,40.20644993,40.68151855,95280000
1/31/2019,40.83431926,40.87251652,40.40460925,40.44757843,83973600
2/1/2019,40.60751528,40.82236839,40.51202218,40.79610825,89134000
2/2/2019,40.91547144,41.17568332,40.56454202,40.6266098,89960800
2/3/2019,40.51441199,40.88443639,40.43563154,40.77462387,87342800
2/4/2019,40.88205065,40.98947721,40.5239597,40.68390656,98507200
2/5/2019,40.51441247,40.92740969,40.46189217,40.80565643,75891200
2/6/2019,40.86772253,41.37621279,40.8199778,41.06825256,104457600
2/7/2019,41.01335233,41.149425,40.65526137,40.83669281,68998800
2/8/2019,40.96083654,41.29982892,40.9130918,41.29266739,75652800
2/9/2019,41.57674725,41.98496889,41.52661292,41.59345627,87493600
2/10/2019,41.46933029,41.84890591,41.34041548,41.61734009,68280800
2/11/2019,41.34995419,41.77727442,41.23536247,41.74623871,111341600
2/12/2019,41.61494648,41.75579472,41.28072606,41.33563232,112861600
2/13/2019,41.60539628,41.81308788,41.27356546,41.77011871,103544800
